time,temperature_2m_max
2016-01-01,22.3
2016-01-02,22.0
2016-01-03,22.6
2016-01-04,22.9
2016-01-05,24.5
2016-01-06,24.2
2016-01-07,24.1
2016-01-08,23.1
2016-01-09,21.8
2016-01-10,22.5
2016-01-11,23.0
2016-01-12,23.9
2016-01-13,21.8
2016-01-14,19.3
2016-01-15,18.8
2016-01-16,18.7
2016-01-17,18.4
2016-01-18,18.5
2016-01-19,18.6
2016-01-20,17.5
2016-01-21,17.8
2016-01-22,18.2
2016-01-23,19.4
2016-01-24,18.7
2016-01-25,17.1
2016-01-26,19.6
2016-01-27,22.2
2016-01-28,22.6
2016-01-29,24.0
2016-01-30,25.5
2016-01-31,22.1
2016-02-01,22.1
2016-02-02,20.9
2016-02-03,21.5
2016-02-04,22.3
2016-02-05,22.8
2016-02-06,23.1
2016-02-07,19.6
2016-02-08,21.7
2016-02-09,22.9
2016-02-10,23.4
2016-02-11,24.7
2016-02-12,24.2
2016-02-13,22.0
2016-02-14,23.6
2016-02-15,22.3
2016-02-16,23.3
2016-02-17,25.6
2016-02-18,27.0
2016-02-19,28.8
2016-02-20,25.9
2016-02-21,25.4
2016-02-22,26.1
2016-02-23,26.9
2016-02-24,26.7
2016-02-25,27.3
2016-02-26,27.4
2016-02-27,27.3
2016-02-28,28.0
2016-02-29,28.0
2016-03-01,28.6
2016-03-02,30.5
2016-03-03,31.4
2016-03-04,31.9
2016-03-05,29.8
2016-03-06,25.9
2016-03-07,27.7
2016-03-08,27.6
2016-03-09,28.0
2016-03-10,29.7
2016-03-11,30.9
2016-03-12,28.4
2016-03-13,27.2
2016-03-14,25.1
2016-03-15,27.3
2016-03-16,27.6
2016-03-17,29.8
2016-03-18,29.3
2016-03-19,30.7
2016-03-20,31.4
2016-03-21,30.5
2016-03-22,29.8
2016-03-23,31.9
2016-03-24,33.4
2016-03-25,34.7
2016-03-26,32.3
2016-03-27,31.7
2016-03-28,31.7
2016-03-29,32.0
2016-03-30,34.4
2016-03-31,36.3
2016-04-01,36.5
2016-04-02,37.6
2016-04-03,38.5
2016-04-04,37.1
2016-04-05,35.9
2016-04-06,35.1
2016-04-07,34.8
2016-04-08,34.8
2016-04-09,36.3
2016-04-10,36.3
2016-04-11,34.9
2016-04-12,34.5
2016-04-13,36.7
2016-04-14,38.5
2016-04-15,39.8
2016-04-16,41.0
2016-04-17,39.7
2016-04-18,38.5
2016-04-19,37.8
2016-04-20,38.8
2016-04-21,38.9
2016-04-22,38.6
2016-04-23,36.7
2016-04-24,37.1
2016-04-25,38.1
2016-04-26,38.5
2016-04-27,39.7
2016-04-28,39.6
2016-04-29,39.4
2016-04-30,39.9
2016-05-01,41.2
2016-05-02,42.5
2016-05-03,38.0
2016-05-04,38.9
2016-05-05,34.6
2016-05-06,34.1
2016-05-07,36.0
2016-05-08,37.2
2016-05-09,38.8
2016-05-10,38.0
2016-05-11,37.0
2016-05-12,39.0
2016-05-13,41.0
2016-05-14,41.2
2016-05-15,42.3
2016-05-16,42.7
2016-05-17,42.7
2016-05-18,43.1
2016-05-19,41.6
2016-05-20,40.2
2016-05-21,41.1
2016-05-22,42.1
2016-05-23,40.9
2016-05-24,38.0
2016-05-25,39.4
2016-05-26,39.8
2016-05-27,40.9
2016-05-28,40.4
2016-05-29,36.2
2016-05-30,33.0
2016-05-31,38.1
2016-06-01,40.2
2016-06-02,41.0
2016-06-03,41.8
2016-06-04,42.4
2016-06-05,40.8
2016-06-06,40.0
2016-06-07,39.6
2016-06-08,40.5
2016-06-09,40.2
2016-06-10,41.6
2016-06-11,39.4
2016-06-12,38.9
2016-06-13,40.2
2016-06-14,37.5
2016-06-15,36.7
2016-06-16,36.8
2016-06-17,37.5
2016-06-18,36.4
2016-06-19,36.3
2016-06-20,36.5
2016-06-21,36.2
2016-06-22,35.2
2016-06-23,37.7
2016-06-24,38.8
2016-06-25,38.9
2016-06-26,36.5
2016-06-27,37.0
2016-06-28,34.2
2016-06-29,36.1
2016-06-30,37.8
2016-07-01,36.0
2016-07-02,30.7
2016-07-03,30.2
2016-07-04,32.7
2016-07-05,34.7
2016-07-06,33.4
2016-07-07,33.5
2016-07-08,34.4
2016-07-09,34.5
2016-07-10,34.4
2016-07-11,33.0
2016-07-12,32.0
2016-07-13,33.0
2016-07-14,32.7
2016-07-15,32.1
2016-07-16,27.4
2016-07-17,26.8
2016-07-18,32.8
2016-07-19,34.1
2016-07-20,34.8
2016-07-21,35.3
2016-07-22,34.6
2016-07-23,32.0
2016-07-24,32.3
2016-07-25,33.1
2016-07-26,31.3
2016-07-27,29.5
2016-07-28,30.0
2016-07-29,27.0
2016-07-30,29.6
2016-07-31,29.0
2016-08-01,29.2
2016-08-02,31.9
2016-08-03,32.9
2016-08-04,33.6
2016-08-05,33.7
2016-08-06,31.3
2016-08-07,33.0
2016-08-08,32.5
2016-08-09,30.5
2016-08-10,30.4
2016-08-11,30.4
2016-08-12,30.7
2016-08-13,31.8
2016-08-14,30.9
2016-08-15,33.1
2016-08-16,33.4
2016-08-17,29.8
2016-08-18,30.1
2016-08-19,32.3
2016-08-20,31.6
2016-08-21,30.6
2016-08-22,31.6
2016-08-23,31.0
2016-08-24,29.7
2016-08-25,32.3
2016-08-26,32.9
2016-08-27,32.5
